,BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
298,Riley Meredith,4,0,33,2,8.25,10,3,1,3,0
299,Hrithik Shokeen,1,0,12,0,12.00,1,0,1,0,0
300,Piyush Chawla,4,0,43,2,10.75,5,4,2,0,0
301,Cameron Green,4,0,29,1,7.25,9,4,0,1,0
302,Trent Boult,4,1,16,1,4.00,18,1,1,0,0
303,Sandeep Sharma,4,0,32,1,8.00,8,4,0,0,1
304,Ravichandran Ashwin,4,0,23,2,5.75,9,2,0,1,0
305,Yuzvendra Chahal,4,0,41,0,10.25,5,3,2,0,0
306,Jason Holder,4,0,38,1,9.50,7,3,2,0,0
307,Naveen-ul-Haq,4,0,19,0,4.75,11,0,1,1,0
308,Yudhvir Singh,2,0,27,0,13.50,6,2,2,1,0
309,Avesh Khan,4,0,25,3,6.25,12,4,0,0,0
310,Marcus Stoinis,4,0,28,2,7.00,11,3,1,0,0
311,Ravi Bishnoi,4,0,25,0,6.25,8,2,0,0,1
312,Amit Mishra,2,0,15,0,7.50,3,2,0,0,0
313,Arshdeep Singh,4,0,34,1,8.50,8,5,0,1,0
314,Harpreet Brar,3,0,31,2,10.33,7,1,3,0,0
315,Nathan Ellis,4,0,41,1,10.25,8,2,3,1,0
316,Sam Curran,4,0,27,0,6.75,6,1,0,0,1
317,Rahul Chahar,4,0,24,0,6.00,7,2,0,0,0
318,Liam Livingstone,1,0,9,0,9.00,0,1,0,0,0
319,Mohammed Siraj,4,0,21,4,5.25,13,3,0,0,0
320,Wayne Parnell,3,0,32,1,10.66,9,1,4,0,0
321,Wanindu Hasaranga,4,0,39,2,9.75,7,2,3,0,0
322,Vijaykumar Vyshak,3,0,29,0,9.66,6,2,2,1,0
323,Glenn Maxwell,1,0,5,0,5.00,1,0,0,0,0
324,Harshal Patel,3.2,0,22,1,6.60,10,1,1,1,1
325,Ishant Sharma,4,0,19,2,4.75,13,2,0,1,0
326,Mukesh Kumar,4,0,34,1,8.50,15,2,3,4,0
327,Anrich Nortje,4,0,20,2,5.00,16,3,0,2,0
328,Axar Patel,3,0,13,2,4.33,12,2,0,0,0
329,Mitchell Marsh,2,0,25,0,12.50,2,1,2,2,0
