,BATTING,Dismissal,R,B,M,4s,6s,SR
0,Devon Conway,b Mohammed Shami,1,6,-,0,0,16.66
1,Ruturaj Gaikwad,c Shubman Gill b Joseph,92,50,-,4,9,184
2,Moeen Ali,c € Saha b Rashid Khan,23,17,-,4,1,135.29
3,Ben Stokes,c € Saha b Rashid Khan,7,6,-,1,0,116.66
4,Ambati Rayudu,b Little,12,12,-,0,1,100
5,Shivam Dube,c Rashid Khan b Mohammed Shami,19,18,-,0,1,105.55
6,Ravindra Jadeja,c Shankar b Joseph,1,2,-,0,0,50
7,MS Dhoni ,not out,14,7,-,1,1,200
8,Mitchell Santner,not out,1,3,-,0,0,33.33
9,Wriddhiman Saha ,c Dube b Hangargekar,25,16,-,2,2,156.25
10,Shubman Gill,c Gaikwad b Deshpande,63,36,-,6,3,175
11,Sai Sudharsan,c € Dhoni b Hangargekar,22,17,-,3,0,129.41
12,Hardik Pandya ,b Jadeja,8,11,-,0,0,72.72
13,Vijay Shankar,c Santner b Hangargekar,27,21,-,2,1,128.57
14,Rahul Tewatia,not out,15,14,-,1,1,107.14
15,Rashid Khan,not out,10,3,-,1,1,333.33
16,Prabhsimran Singh,c € Rahmanullah Gurbaz b Southee,23,12,10,2,2,191.66
17,Shikhar Dhawan ,b Varun,40,29,75,6,0,137.93
18,Bhanuka Rajapaksa,c Singh b Yadav,50,32,47,5,2,156.25
19,Jitesh Sharma ,c Yadav b Southee,21,11,13,1,2,190.9
20,Sikandar Raza,c Rana b Narine,16,13,22,1,1,123.07
21,Sam Curran,not out,26,17,27,0,2,152.94
22,M Shahrukh Khan,not out,11,7,11,2,0,157.14
23,Mandeep Singh,c Curran b Arshdeep Singh,2,4,7,0,0,50
24,Rahmanullah Gurbaz ,b Ellis,22,16,26,3,1,137.5
25,Anukul Roy,c Sikandar Raza b Arshdeep Singh,4,5,5,1,0,80
26,Venkatesh Iyer,c Chahar b Arshdeep Singh,34,28,66,3,1,121.42
27,Nitish Rana ,c Chahar b Sikandar Raza,24,17,23,3,1,141.17
28,Rinku Singh,c Sikandar Raza b Chahar,4,4,5,0,0,100
29,Andre Russell,c Sikandar Raza b Curran,35,19,24,3,2,184.21
30,Shardul Thakur,not out,8,3,8,0,1,266.66
31,Sunil Narine,not out,7,2,4,0,1,350
32,KL Rahul ,c Patel b Sakariya,8,12,21,0,1,66.66
33,Kyle Mayers,b Patel,73,38,53,2,7,192.1
34,Deepak Hooda,c Warner b Kuldeep Yadav,17,18,31,0,0,94.44
35,Krunal Pandya,not out,15,13,51,0,1,115.38
36,Marcus Stoinis,c € Khan b Ahmed,12,10,13,0,1,120
37,Nicholas Pooran ,c Shaw b Ahmed,36,21,24,2,3,171.42
38,Ayush Badoni,c € Khan b Sakariya,18,7,10,1,2,257.14
39,Krishnappa Gowtham,not out,6,1,2,0,1,600
40,Prithvi Shaw,b Wood,12,9,24,2,0,133.33
41,David Warner ,c Gowtham b Avesh Khan,56,48,87,7,0,116.66
42,Mitchell Marsh,b Wood,0,1,2,0,0,0
43,Sarfaraz Khan ,c Gowtham b Wood,4,9,16,1,0,44.44
44,Rilee Rossouw,c Mayers b Ravi Bishnoi,30,20,24,3,1,150
45,Rovman Powell,lbw b Ravi Bishnoi,1,3,11,0,0,33.33
46,Aman Hakim Khan,c € Pooran b Avesh Khan,4,5,11,0,0,80
47,Axar Patel,c sub (PN Mankad) b Wood,16,11,21,1,1,145.45
48,Kuldeep Yadav,not out,6,10,22,0,0,60
49,Chetan Sakariya,c Pandya b Wood,4,4,5,1,0,100
50,Mukesh Kumar,not out,0,1,1,0,0,0
51,Yashasvi Jaiswal,c Agarwal b Fazalhaq Farooqi,54,37,63,9,0,145.94
52,Jos Buttler,b Fazalhaq Farooqi,54,22,32,7,3,245.45
53,Sanju Samson ,c Abhishek Sharma b Natarajan,55,32,66,3,4,171.87
54,Devdutt Padikkal,b Umran Malik,2,5,10,0,0,40
55,Riyan Parag,c Fazalhaq Farooqi b Natarajan,7,6,12,1,0,116.66
56,Shimron Hetmyer,not out,22,16,21,1,1,137.5
57,Ravichandran Ashwin,not out,1,2,9,0,0,50
58,Abhishek Sharma,b Boult,0,3,3,0,0,0
59,Mayank Agarwal,c Buttler b Chahal,27,23,56,3,0,117.39
60,Rahul Tripathi,c Holder b Boult,0,2,6,0,0,0
61,Harry Brook,b Chahal,13,21,28,1,0,61.9
62,Washington Sundar,c Hetmyer b Holder,1,5,10,0,0,20
63,Glenn Phillips ,c Asif b Ashwin,8,6,6,0,1,133.33
64,Abdul Samad,not out,32,32,51,2,1,100
65,Adil Rashid,st € Samson b Chahal,18,13,17,1,1,138.46
66,Bhuvneshwar Kumar ,b Chahal,6,10,20,0,0,60
67,Umran Malik,not out,19,8,12,1,2,237.5
68,Rohit Sharma ,c € Karthik b Akash Deep,1,10,30,0,0,10
69,Ishan Kishan ,c Patel b Mohammed Siraj,10,13,13,2,0,76.92
70,Cameron Green,b Topley,5,4,6,1,0,125
71,Suryakumar Yadav,c Shahbaz Ahmed b Bracewell,15,16,35,1,0,93.75
72,Tilak Varma,not out,84,46,85,9,4,182.6
73,Nehal Wadhera,c Kohli b Sharma,21,13,25,1,2,161.53
74,Tim David,b Sharma,4,7,11,0,0,57.14
75,Hrithik Shokeen,c du Plessis b Patel,5,3,12,1,0,166.66
76,Arshad Khan,not out,15,9,19,0,1,166.66
77,Virat Kohli,not out,82,49,75,6,5,167.34
78,Faf du Plessis ,c David b Arshad Khan,73,43,66,5,6,169.76
79,Dinesh Karthik ,c Tilak Varma b Green,0,3,6,0,0,0
80,Glenn Maxwell,not out,12,3,5,0,2,400
81,Ruturaj Gaikwad,c Wood b Ravi Bishnoi,57,31,55,3,4,183.87
82,Devon Conway,c Pandya b Wood,47,29,62,5,2,162.06
83,Shivam Dube,c Wood b Ravi Bishnoi,27,16,22,1,3,168.75
84,Moeen Ali,st € Pooran b Ravi Bishnoi,19,13,25,3,0,146.15
85,Ben Stokes,c Yash Thakur b Avesh Khan,8,8,16,1,0,100
86,Ambati Rayudu,not out,27,14,26,2,2,192.85
87,Ravindra Jadeja,c Ravi Bishnoi b Wood,3,6,13,0,0,50
88,MS Dhoni ,c Ravi Bishnoi b Wood,12,3,6,0,2,400
89,Mitchell Santner,not out,1,1,2,0,0,100
90,KL Rahul ,c Gaikwad b Ali,20,18,42,2,0,111.11
91,Kyle Mayers,c Conway b Ali,53,22,35,8,2,240.9
92,Deepak Hooda,c Stokes b Santner,2,6,6,0,0,33.33
93,Krunal Pandya,c Jadeja b Ali,9,9,14,0,1,100
94,Marcus Stoinis,b Ali,21,18,26,0,1,116.66
95,Nicholas Pooran ,c Stokes b Deshpande,32,18,28,2,3,177.77
96,Ayush Badoni,c € Dhoni b Deshpande,23,18,38,0,0,127.77
97,Krishnappa Gowtham,not out,17,11,26,0,1,154.54
98,Mark Wood,not out,10,3,2,1,1,333.33
99,David Warner ,b Joseph,37,32,48,7,0,115.62
100,Prithvi Shaw,c Joseph b Mohammed Shami,7,5,17,1,0,140
101,Mitchell Marsh,b Mohammed Shami,4,4,10,1,0,100
102,Sarfaraz Khan,c Little b Rashid Khan,30,34,66,2,0,88.23
103,Rilee Rossouw,c Tewatia b Joseph,0,1,4,0,0,0
104,Abishek Porel ,b Rashid Khan,20,11,25,0,2,181.81
105,Axar Patel,c Miller b Mohammed Shami,36,22,33,2,3,163.63
106,Aman Hakim Khan,c Pandya b Rashid Khan,8,8,10,0,1,100
107,Kuldeep Yadav,not out,1,1,7,0,0,100
108,Anrich Nortje,not out,4,2,1,1,0,200
109,Wriddhiman Saha ,b Nortje,14,7,9,2,1,200
110,Shubman Gill,b Nortje,14,13,19,3,0,107.69
111,Sai Sudharsan,not out,62,48,92,4,2,129.16
112,Hardik Pandya ,c € Abishek Porel b Ahmed,5,4,12,1,0,125
113,Vijay Shankar,lbw b Marsh,29,23,40,3,0,126.08
114,David Miller,not out,31,16,28,2,2,193.75
115,Prabhsimran Singh,c Buttler b Holder,60,34,49,7,3,176.47
116,Shikhar Dhawan ,not out,86,56,113,9,3,153.57
117,Bhanuka Rajapaksa,retired hurt,1,1,3,0,0,100
118,Jitesh Sharma ,c Parag b Chahal,27,16,31,2,1,168.75
119,Sikandar Raza,b Ashwin,1,2,2,0,0,50
120,M Shahrukh Khan,c Buttler b Holder,11,10,23,1,0,110
121,Sam Curran,not out,1,2,3,0,0,50
122,Yashasvi Jaiswal,c sub (MW Short) b Arshdeep Singh,11,8,12,1,1,137.5
123,Ravichandran Ashwin,c S Dhawan b Arshdeep Singh,0,4,23,0,0,0
124,Jos Buttler,c & b Ellis,19,11,24,1,1,172.72
125,Sanju Samson ,c sub (MW Short) b Ellis,42,25,39,5,1,168
126,Devdutt Padikkal,b Ellis,21,26,47,1,0,80.76
127,Riyan Parag,c Shahrukh Khan b Ellis,20,12,16,1,2,166.66
128,Shimron Hetmyer,run out (Shahrukh Khan/Curran),36,18,35,1,3,200
129,Dhruv Jurel,not out,32,15,32,3,2,213.33
130,Jason Holder,not out,1,1,4,0,0,100
131,Rahmanullah Gurbaz ,c Akash Deep b Sharma,57,44,58,6,3,129.54
132,Venkatesh Iyer,b Willey,3,7,18,0,0,42.85
133,Mandeep Singh,b Willey,0,1,2,0,0,0
134,Nitish Rana ,c € Karthik b Bracewell,1,5,17,0,0,20
135,Rinku Singh,c € Karthik b Patel,46,33,64,2,3,139.39
136,Andre Russell,c Kohli b Sharma,0,1,2,0,0,0
137,Shardul Thakur,c Maxwell b Mohammed Siraj,68,29,45,9,3,234.48
138,Sunil Narine,not out,0,1,6,0,0,0
139,Umesh Yadav,not out,6,2,2,1,0,300
140,Virat Kohli,b Narine,21,18,20,3,0,116.66
141,Faf du Plessis ,b Varun,23,12,24,2,2,191.66
142,Michael Bracewell,c Rana b Thakur,19,18,33,1,1,105.55
143,Glenn Maxwell,b Varun,5,7,9,1,0,71.42
144,Harshal Patel,b Varun,0,2,3,0,0,0
145,Shahbaz Ahmed,c Thakur b Narine,1,5,6,0,0,20
146,Dinesh Karthik ,c Varun b Suyash Sharma,9,8,23,1,0,112.5
147,Anuj Rawat,c Narine b Suyash Sharma,1,5,5,0,0,20
148,David Willey,not out,20,20,28,2,0,100
149,Karn Sharma,c Rana b Suyash Sharma,1,3,11,0,0,33.33
150,Akash Deep,c & b Varun,17,8,14,2,1,212.5
151,Anmolpreet Singh ,lbw b Pandya,31,26,38,3,1,119.23
152,Mayank Agarwal,c Stoinis b Pandya,8,7,14,1,0,114.28
153,Rahul Tripathi,c Mishra b Yash Thakur,34,41,65,4,0,82.92
154,Aiden Markram ,b Pandya,0,1,2,0,0,0
155,Harry Brook,st € Pooran b Ravi Bishnoi,3,4,5,0,0,75
156,Washington Sundar,c Hooda b Mishra,16,28,40,0,0,57.14
157,Abdul Samad,not out,21,10,11,1,2,210
158,Adil Rashid,c Hooda b Mishra,4,3,3,1,0,133.33
159,Umran Malik,run out (Hooda/Unadkat),0,0,1,0,0,-
160,Bhuvneshwar Kumar,not out,0,0,4,0,0,-
161,Kyle Mayers,c Agarwal b Fazalhaq Farooqi,13,14,22,2,0,92.85
162,KL Rahul ,lbw b Rashid,35,31,74,4,0,112.9
163,Deepak Hooda,c & b Kumar,7,8,10,0,1,87.5
164,Krunal Pandya,c € Anmolpreet Singh b Umran Malik,34,23,33,4,1,147.82
165,Marcus Stoinis,not out,10,13,22,2,0,76.92
166,Romario Shepherd,lbw b Rashid,0,1,3,0,0,0
167,Nicholas Pooran ,not out,11,6,7,1,1,183.33
168,Yashasvi Jaiswal,c & b Mukesh Kumar,60,31,47,11,1,193.54
169,Jos Buttler,c & b Mukesh Kumar,79,51,94,11,1,154.9
170,Sanju Samson ,c Nortje b Kuldeep Yadav,0,4,7,0,0,0
171,Riyan Parag,b Powell,7,11,16,0,0,63.63
172,Shimron Hetmyer,not out,39,21,32,1,4,185.71
173,Dhruv Jurel,not out,8,3,7,0,1,266.66
174,Prithvi Shaw,c € Samson b Boult,0,3,4,0,0,0
175,David Warner ,lbw b Chahal,65,55,102,7,0,118.18
176,Manish Pandey,lbw b Boult,0,1,3,0,0,0
177,Rilee Rossouw,c Jaiswal b R Ashwin,14,12,24,2,0,116.66
178,Lalit Yadav,b Boult,38,24,35,5,0,158.33
179,Axar Patel,st € Samson b Chahal,2,6,12,0,0,33.33
180,Rovman Powell,c Hetmyer b R Ashwin,2,2,6,0,0,100
181,Abishek Porel ,c Hetmyer b Chahal,7,9,18,1,0,77.77
182,Kuldeep Yadav,not out,3,7,9,0,0,42.85
183,Anrich Nortje,b Sandeep Sharma,0,1,3,0,0,0
184,Mukesh Kumar,not out,1,1,3,0,0,100
185,Rohit Sharma ,b Deshpande,21,13,22,3,1,161.53
186,Ishan Kishan ,c Pretorius b Jadeja,32,21,36,5,0,152.38
187,Cameron Green,c & b Jadeja,12,11,23,1,0,109.09
188,Suryakumar Yadav,c € Dhoni b Santner,1,2,6,0,0,50
189,Tilak Varma,lbw b Jadeja,22,18,26,2,1,122.22
190,Arshad Khan,lbw b Santner,2,4,4,0,0,50
191,Tim David,c Rahane b Deshpande,31,22,35,1,2,140.9
192,Tristan Stubbs,c Gaikwad b Magala,5,10,13,0,0,50
193,Hrithik Shokeen,not out,18,13,20,3,0,138.46
194,Piyush Chawla,not out,5,6,15,0,0,83.33
195,Devon Conway,b Behrendorff,0,4,4,0,0,0
196,Ruturaj Gaikwad,not out,40,36,80,2,1,111.11
197,Ajinkya Rahane,c Yadav b Chawla,61,27,33,7,3,225.92
198,Shivam Dube,b Kartikeya,28,26,28,2,1,107.69
199,Ambati Rayudu,not out,20,16,16,3,0,125
200,Wriddhiman Saha ,c Jagadeesan b Narine,17,17,24,3,0,100
201,Shubman Gill,c Yadav b Narine,39,31,55,5,0,125.8
202,Sai Sudharsan,c sub (AS Roy) b Narine,53,38,64,3,2,139.47
203,Abhinav Manohar,b Suyash Sharma,14,8,13,3,0,175
204,Vijay Shankar,not out,63,24,33,4,5,262.5
205,David Miller,not out,2,3,13,0,0,66.66
206,Rahmanullah Gurbaz ,c Yash Dayal b Mohammed Shami,15,12,13,1,1,125
207,Narayan Jagadeesan,c Manohar b Little,6,8,21,1,0,75
208,Venkatesh Iyer,c Shubman Gill b Joseph,83,40,64,8,5,207.5
209,Nitish Rana ,c Mohammed Shami b Joseph,45,29,42,4,3,155.17
210,Rinku Singh,not out,48,21,43,1,6,228.57
211,Andre Russell,c sub (€ KS Bharat) b Rashid Khan,1,2,6,0,0,50
212,Sunil Narine,c sub (J Yadav) b Rashid Khan,0,1,2,0,0,0
213,Shardul Thakur,lbw b Rashid Khan,0,1,3,0,0,0
214,Umesh Yadav,not out,5,6,19,0,0,83.33
215,Prabhsimran Singh,lbw b Kumar,0,1,2,0,0,0
216,Shikhar Dhawan ,not out,99,66,105,12,5,150
217,Matthew Short,lbw b Jansen,1,3,9,0,0,33.33
218,Jitesh Sharma ,c Markram b Jansen,4,9,13,1,0,44.44
219,Sam Curran,c Kumar b Markande,22,15,25,3,1,146.66
220,Sikandar Raza,c Agarwal b Umran Malik,5,6,5,0,0,83.33
221,M Shahrukh Khan,lbw b Markande,4,3,7,1,0,133.33
222,Harpreet Brar,b Umran Malik,1,2,5,0,0,50
223,Rahul Chahar,lbw b Markande,0,8,10,0,0,0
224,Nathan Ellis,b Markande,0,5,10,0,0,0
225,Mohit Rathee,not out,1,2,25,0,0,50
226,Harry Brook,b Arshdeep Singh,13,14,18,3,0,92.85
227,Mayank Agarwal,c Curran b Chahar,21,20,38,3,0,105
228,Rahul Tripathi,not out,74,48,61,10,3,154.16
229,Aiden Markram ,not out,37,21,41,6,0,176.19
230,Virat Kohli,c Stoinis b Mishra,61,44,50,4,4,138.63
231,Faf du Plessis ,not out,79,46,104,5,5,171.73
232,Glenn Maxwell,b Wood,59,29,54,3,6,203.44
233,Dinesh Karthik ,not out,1,1,2,0,0,100
234,Kyle Mayers,b Mohammed Siraj,0,3,5,0,0,0
235,KL Rahul ,c Kohli b Mohammed Siraj,18,20,61,1,0,90
236,Deepak Hooda,c € Karthik b Parnell,9,10,19,1,0,90
237,Krunal Pandya,c € Karthik b Parnell,0,2,3,0,0,0
238,Marcus Stoinis,c Shahbaz Ahmed b Sharma,65,30,32,6,5,216.66
239,Nicholas Pooran ,c Shahbaz Ahmed b Mohammed Siraj,62,19,38,4,7,326.31
240,Ayush Badoni,hit wicket b Parnell,30,24,45,4,0,125
241,Jaydev Unadkat,c du Plessis b Patel,9,7,19,1,0,128.57
242,Mark Wood,b Patel,1,2,6,0,0,50
243,Ravi Bishnoi,not out,3,2,8,0,0,150
244,Avesh Khan,not out,0,1,3,0,0,0
245,David Warner ,c Meredith b Behrendorff,51,47,94,6,0,108.51
246,Prithvi Shaw,c Green b Shokeen,15,10,17,3,0,150
247,Manish Pandey,c Behrendorff b Chawla,26,18,24,5,0,144.44
248,Yash Dhull,c Wadhera b Meredith,2,4,7,0,0,50
249,Rovman Powell,lbw b Chawla,4,4,6,1,0,100
250,Lalit Yadav,b Chawla,2,4,10,0,0,50
251,Axar Patel,c Arshad Khan b Behrendorff,54,25,29,4,5,216
252,Abishek Porel ,c Green b Behrendorff,1,3,8,0,0,33.33
253,Kuldeep Yadav,run out (Wadhera),0,1,2,0,0,0
254,Anrich Nortje,b Meredith,5,3,7,1,0,166.66
255,Mustafizur Rahman,not out,1,1,5,0,0,100
256,Rohit Sharma ,c € Abishek Porel b Mustafizur Rahman,65,45,86,6,4,144.44
257,Ishan Kishan ,run out (Mukesh Kumar/Lalit Yadav),31,26,32,6,0,119.23
258,Tilak Varma,c Pandey b Mukesh Kumar,41,29,42,1,4,141.37
259,Suryakumar Yadav,c Kuldeep Yadav b Mukesh Kumar,0,1,3,0,0,0
260,Tim David,not out,13,11,27,0,1,118.18
261,Cameron Green,not out,17,8,20,1,1,212.5
262,Yashasvi Jaiswal,c Dube b Deshpande,10,8,9,2,0,125
263,Jos Buttler,b Ali,52,36,79,1,3,144.44
264,Devdutt Padikkal,c Conway b Jadeja,38,26,33,5,0,146.15
265,Sanju Samson ,b Jadeja,0,2,2,0,0,0
266,Ravichandran Ashwin,c Magala b Akash Singh,30,22,29,1,2,136.36
267,Shimron Hetmyer,not out,30,18,28,2,2,166.66
268,Dhruv Jurel,c Dube b Akash Singh,4,6,15,0,0,66.66
269,Jason Holder,c Conway b Deshpande,0,1,6,0,0,0
270,Adam Zampa,run out (Theekshana/€ Dhoni),1,1,2,0,0,100
271,Ruturaj Gaikwad,c Jaiswal b Sandeep Sharma,8,10,14,1,0,80
272,Devon Conway,c Jaiswal b Chahal,50,38,82,6,0,131.57
273,Ajinkya Rahane,lbw b Ashwin,31,19,38,2,1,163.15
274,Shivam Dube,lbw b Ashwin,8,9,13,1,0,88.88
275,Moeen Ali,c Sandeep Sharma b Zampa,7,10,12,0,0,70
276,Ambati Rayudu,c Hetmyer b Chahal,1,2,4,0,0,50
277,Ravindra Jadeja,not out,25,15,35,1,2,166.66
278,MS Dhoni ,not out,32,17,30,1,3,188.23
279,Prabhsimran Singh,c Rashid Khan b Mohammed Shami,0,2,3,0,0,0
280,Shikhar Dhawan ,c Joseph b Little,8,8,20,2,0,100
281,Matthew Short,b Rashid Khan,36,24,38,6,1,150
282,Bhanuka Rajapaksa,c Shubman Gill b Joseph,20,26,73,1,0,76.92
283,Jitesh Sharma ,c € Saha b Sharma,25,23,29,5,0,108.69
284,Sam Curran,c Shubman Gill b Sharma,22,22,33,1,1,100
285,M Shahrukh Khan,run out (Miller/€ Saha),22,9,19,1,2,244.44
286,Harpreet Brar,not out,8,5,12,0,1,160
287,Rishi Dhawan,run out (€ Saha),1,1,4,0,0,100
288,Wriddhiman Saha ,c Short b Rabada,30,19,-,5,0,157.89
289,Shubman Gill,b Curran,67,49,-,7,1,136.73
290,Sai Sudharsan,c Prabhsimran Singh b Arshdeep Singh,19,20,-,2,0,95
291,Hardik Pandya ,c Curran b Harpreet Brar,8,11,-,1,0,72.72
292,David Miller,not out,17,18,-,1,0,94.44
293,Rahul Tewatia,not out,5,2,-,1,0,250
294,Harry Brook,not out,100,55,99,12,3,181.81
295,Mayank Agarwal,c Varun b Russell,9,13,22,0,0,69.23
296,Rahul Tripathi,c € Rahmanullah Gurbaz b Russell,9,4,6,2,0,225
297,Aiden Markram ,c Russell b Varun,50,26,32,2,5,192.3
298,Abhishek Sharma,c Thakur b Russell,32,17,28,3,2,188.23
299,Heinrich Klaasen ,not out,16,6,13,2,1,266.66
300,Rahmanullah Gurbaz ,c Umran Malik b Kumar,0,3,3,0,0,0
301,Narayan Jagadeesan,c sub (GD Phillips) b Markande,36,21,41,5,1,171.42
302,Venkatesh Iyer,c Markram b Jansen,10,11,15,2,0,90.9
303,Sunil Narine,c Markram b Jansen,0,1,2,0,0,0
304,Nitish Rana ,c Washington Sundar b Natarajan,75,41,67,5,6,182.92
305,Andre Russell,c Jansen b Markande,3,6,10,0,0,50
306,Rinku Singh,not out,58,31,51,4,4,187.09
307,Shardul Thakur,c Washington Sundar b Umran Malik,12,7,15,2,0,171.42
308,Umesh Yadav,not out,1,1,4,0,0,100
309,Virat Kohli,c Dhull b Lalit Yadav,50,34,46,6,1,147.05
310,Faf du Plessis ,c Aman Hakim Khan b Marsh,22,16,21,3,1,137.5
311,Mahipal Lomror,c € Abishek Porel b Marsh,26,18,38,0,2,144.44
312,Glenn Maxwell,c Warner b Kuldeep Yadav,24,14,25,0,3,171.42
313,Harshal Patel,c € Abishek Porel b Patel,6,4,9,0,1,150
314,Shahbaz Ahmed,not out,20,12,31,3,0,166.66
315,Dinesh Karthik ,c Lalit Yadav b Kuldeep Yadav,0,1,2,0,0,0
316,Anuj Rawat,not out,15,22,26,1,0,68.18
317,David Warner ,c Kohli b Vyshak,19,13,33,4,0,146.15
318,Prithvi Shaw,run out (Anuj Rawat),0,2,4,0,0,0
