,BATTING,Dismissal,R,B,M,4s,6s,SR
593,Virat Kohli ,c Iyer b Russell,54,37,59,6,0,145.94
594,Faf du Plessis,c Singh b Suyash Sharma,17,7,12,1,2,242.85
595,Shahbaz Ahmed,lbw b Suyash Sharma,2,5,11,0,0,40
596,Glenn Maxwell,c Wiese b Varun,5,4,6,1,0,125
597,Mahipal Lomror,c Russell b Varun,34,18,26,1,3,188.88
598,Dinesh Karthik ,c Singh b Varun,22,18,33,1,1,122.22
599,Suyash Prabhudessai,run out (sub [AS Roy]/Suyash Sharma),10,9,15,1,0,111.11
600,Wanindu Hasaranga,c sub (AS Roy) b Russell,5,4,11,0,0,125
601,David Willey,not out,11,10,16,1,0,110
602,Vijaykumar Vyshak,not out,13,8,12,0,1,162.5
603,Yashasvi Jaiswal,c Rahane b Deshpande,77,43,67,8,4,179.06
604,Jos Buttler,c Dube b Jadeja,27,21,40,4,0,128.57
605,Sanju Samson ,c Gaikwad b Deshpande,17,17,21,1,0,100
606,Shimron Hetmyer,b Theekshana,8,10,16,0,0,80
607,Dhruv Jurel,run out (€ Dhoni),34,15,32,3,2,226.66
608,Devdutt Padikkal,not out,27,13,22,5,0,207.69
609,Ravichandran Ashwin,not out,1,1,3,0,0,100
610,Ruturaj Gaikwad,c Padikkal b Zampa,47,29,45,5,1,162.06
611,Devon Conway,c Sandeep Sharma b Zampa,8,16,28,1,0,50
612,Ajinkya Rahane,c Buttler b Ashwin,15,13,23,0,0,115.38
613,Shivam Dube,c Buttler b Yadav,52,33,52,2,4,157.57
614,Ambati Rayudu,c Holder b Ashwin,0,2,4,0,0,0
615,Moeen Ali,c € Samson b Zampa,23,12,21,2,2,191.66
616,Ravindra Jadeja,not out,23,15,27,3,0,153.33
617,KL Rahul ,c Shahrukh Khan b Rabada,12,9,19,1,1,133.33
618,Kyle Mayers,c Dhawan b Rabada,54,24,31,7,4,225
619,Ayush Badoni,c Chahar b Livingstone,43,24,49,3,3,179.16
620,Marcus Stoinis,c € Sharma b Curran,72,40,63,6,5,180
621,Nicholas Pooran ,lbw b Arshdeep Singh,45,19,36,7,1,236.84
622,Deepak Hooda,not out,11,6,12,2,0,183.33
623,Krunal Pandya,not out,5,2,3,1,0,250
624,Prabhsimran Singh,c sub (DR Sams) b Naveen-ul-Haq,9,13,24,2,0,69.23
625,Shikhar Dhawan ,c Pandya b Stoinis,1,2,5,0,0,50
626,Atharva Taide,c & b Ravi Bishnoi,66,36,67,8,2,183.33
627,Sikandar Raza,c Pandya b Yash Thakur,36,22,41,4,1,163.63
628,Liam Livingstone,lbw b Ravi Bishnoi,23,14,19,2,1,164.28
629,Sam Curran,c Badoni b Naveen-ul-Haq,21,11,24,2,1,190.9
630,Jitesh Sharma ,c Rahul b Yash Thakur,24,10,17,0,3,240
631,M Shahrukh Khan,c Ravi Bishnoi b Yash Thakur,6,9,18,0,0,66.66
632,Rahul Chahar,c Hooda b Yash Thakur,0,1,3,0,0,0
633,Kagiso Rabada,b Naveen-ul-Haq,0,1,5,0,0,0
634,Arshdeep Singh,not out,2,2,6,0,0,100
635,Narayan Jagadeesan ,lbw b Mohammed Shami,19,15,16,4,0,126.66
636,Rahmanullah Gurbaz,c Rashid Khan b Noor Ahmad,81,39,80,5,7,207.69
637,Shardul Thakur,c Sharma b Mohammed Shami,0,4,13,0,0,0
638,Venkatesh Iyer,lbw b Little,11,14,27,0,0,78.57
639,Nitish Rana ,c Tewatia b Little,4,3,5,1,0,133.33
640,Rinku Singh,c Little b Noor Ahmad,19,20,33,0,1,95
641,Andre Russell,c Tewatia b Mohammed Shami,34,19,22,2,3,178.94
642,David Wiese,not out,8,6,13,0,1,133.33
643,Wriddhiman Saha ,c Harshit Rana b Russell,10,10,21,1,0,100
644,Shubman Gill,c Russell b Narine,49,35,53,8,0,140
645,Hardik Pandya ,lbw b Harshit Rana,26,20,28,2,1,130
646,Vijay Shankar,not out,51,24,37,2,5,212.5
647,David Miller,not out,32,18,32,2,2,177.77
648,Abhishek Sharma,c Warner b AR Patel,67,36,62,12,1,186.11
649,Mayank Agarwal,c € Salt b Sharma,5,6,15,1,0,83.33
650,Rahul Tripathi,c Pandey b Marsh,10,6,12,0,1,166.66
651,Aiden Markram ,c AR Patel b Marsh,8,13,21,0,0,61.53
652,Harry Brook,c AR Patel b Marsh,0,2,3,0,0,0
653,Heinrich Klaasen ,not out,53,27,50,2,4,196.29
654,Abdul Samad,c € Salt b Marsh,28,21,21,1,2,133.33
655,Akeal Hosein,not out,16,10,17,1,1,160
656,David Warner ,b Kumar,0,2,2,0,0,0
657,Phil Salt ,c & b Markande,59,35,53,9,0,168.57
658,Mitchell Marsh,c Markram b Hosein,63,39,63,1,6,161.53
659,Manish Pandey,st € Klaasen b Abhishek Sharma,1,3,5,0,0,33.33
660,Priyam Garg,b Markande,12,9,15,1,0,133.33
661,Sarfaraz Khan,b Natarajan,9,10,19,1,0,90
662,Axar Patel,not out,29,14,24,1,2,207.14
663,Ripal Patel,not out,11,8,16,1,0,137.5
